Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.3583515,-1.0627741744109998,4.1795465062471076,0.06264423,0.2103391,-0.017216956,-1.062774183296705,0.09184844570285272,0.023029539638019198,0.062084444,0.08413045,0.0002995311,0.50635827,0.08978721,1.617188,0.23045437,0.71889055,0.0849623
60000,1.1975116,-16.883332386612892,639.0,-1.5503854,0.23404267,0.24423003,-16.883334795633953,1.0652036673078935,1.6304863560944796,0.0035265337,0.07966307,0.0002986261,0.013196104,0.008383061,0.52554756,0.14742462,0.80305344,0.05167779
90000,1.0883323,-4.105681631523608,141.61363636363637,-1.4520553,0.16740265,0.24789137,-4.1056820181283085,0.3105542403222485,0.41924009123944084,0.0026404045,0.086548395,0.00029774106,0.011461999,0.006153011,0.4583337,0.12522292,0.828836,0.043983355
120000,1.0024767,-7.587978315163166,457.36170212765956,-1.1471189,0.10911778,0.24830188,-7.587979659121087,0.2508031520942979,1.601968269141272,0.008398681,0.11631885,0.0002968506,0.003523873,0.0052913856,0.3857813,0.10655871,0.8634413,0.040446814
150000,0.9125508,-1.1616379214001114,14.5,-1.1326021,0.13717198,0.26217133,-1.1616379341174816,0.020587192709830685,0.06138692523256458,0.0035309691,0.08920654,0.00029595886,0.003789807,0.0053372285,0.35420844,0.09349045,0.8800644,0.03395493
180000,0.8413278,None,None,-1.5741047,0.019315638,0.10397275,None,None,None,0.00014326397,0.0836727,0.0002950377,0.0011665268,0.0011082982,0.28591692,0.07215602,0.9016456,0.031040674
210000,0.77821153,-1.0763077102383802,3.0949736995908825,-1.1249635,0.03541779,0.20887421,-1.076307714699584,0.0019014716757677318,0.010266794288627017,0.0047018137,0.077531435,0.00029414424,0.008599641,0.02172079,0.33795688,0.08041964,0.882216,0.029175654
240000,0.7335098,-1.0058323385545134,0.5059665871121718,-1.005054,0.0635719,0.21403947,-1.0058323349225777,0.0008500655062052047,0.003188530868693807,0.00033438927,0.07144132,0.00029326056,0.005163618,0.01894894,0.2523742,0.051447075,0.90040845,0.027822966
270000,0.69881636,-0.9424591036342038,3.679959100204499,-0.93926316,0.0733064,0.21192798,-0.9424590949570962,0.0013636464329041466,0.0075116397779990095,0.0039308807,0.088188246,0.0002923549,0.0026105526,0.008847456,0.19356544,0.03459756,0.9197506,0.028831588
300000,0.68758214,10.670055496642428,551.9325842696629,-0.6386191,0.010947533,0.13305877,10.670056894923864,0.23392469653620362,0.3705120140194809,0.013827098,0.10125089,0.0002914456,0.0043827854,0.008195102,0.18463148,0.035538647,0.9232016,0.028044172
330000,0.6938293,-1.418749975040555,193.58333333333334,-1.591181,0.023811273,0.053798348,-1.4187501072883606,0.10967336953520619,0.14930249587632716,0.0061879638,0.093497686,0.00029054735,0.0021914917,0.012192182,0.12537968,0.018238828,0.94159603,0.002360602064679066
360000,0.6920782,-1.3980579748377824,15.897789398621345,-0.9517698,0.016438277,0.0327754,-1.3980580339642583,0.005728347913746807,0.014138102453880435,0.0050727273,0.09059914,0.0002896502,0.006461276,0.02962067,0.17330845,0.047094643,0.9408404,0.0
390000,0.6935593,-0.9349305454528329,2.746527078719549,-0.9912161,0.037120707,0.021882566,-0.9349305360927317,0.0003457881030051843,0.0009961438973926312,0.0022200847,0.11125634,0.00028876596,0.003104156,0.030508434,0.13258184,0.030785711,0.9507224,0.0
420000,0.7014727,-1.026480987728958,2.3632461161079314,-0.99499446,0.040677726,0.032484684,-1.0264812942980452,0.0013320089762752308,0.005804570164815316,0.0020756333,0.09459509,0.0002878646,0.0041204174,0.031180182,0.11334431,0.027221454,0.9582851,0.0
450000,0.7019279,-1.0056769099593954,0.2510678690080683,-1.0135949,0.03374316,0.11782365,-1.00568054976293,0.000608137595563733,0.002100148775240297,0.0012905833,0.101738185,0.00028695932,0.0077102524,0.050755717,0.1474153,0.047401395,0.9560807,0.0
480000,0.69645995,-0.9755239535546946,1.087624750499002,-0.9770952,0.01640823,0.12769663,-0.9755288338594583,0.0003068296891403363,0.0008591946276322646,0.00775949,0.07886051,0.00028607826,0.0070504663,0.06571064,0.10870475,0.029126426,0.96234196,0.0
510000,0.7030833,-1.0002496374393994,0.029417857882742905,-0.99477714,0.013820584,0.12254617,-1.000249637298167,0.00015617949859054566,0.00044615027833289853,0.00023632124,0.097188905,0.00028518157,0.0050254147,0.065183945,0.08655042,0.020444145,0.96772856,0.0
540000,0.705575,-1.0022473751933152,0.10454943132108487,-0.9969351,0.011865971,0.12634227,-1.0022473750490946,0.0002708926134421451,0.001106431207658659,0.00033484393,0.07832661,0.00028428316,0.0058902474,0.054905374,0.10383372,0.03360067,0.9692969,0.0
570000,0.70718205,-1.0006451779947676,0.028132461330841897,-0.9963083,0.012406821,0.11953797,-1.0006453116763703,0.00015234506057409673,0.00035278488791109727,0.0003019637,0.077976875,0.00028335,0.005308843,0.0659319,0.07820325,0.020078871,0.972359,0.0
600000,0.7048275,-0.9942330569305793,0.1663982158344691,-0.98087806,0.02773179,0.12404867,-0.9942344858140495,0.000272145813171575,0.00045890736843239407,0.020126488,0.09394337,0.0002824173,0.0058997124,0.05202549,0.07255419,0.018993752,0.9748204,0.0
630000,0.71607864,-0.8658794306182849,15.705317446203095,-0.8515368,0.030631954,0.14708236,-0.8658317049994755,0.0027000155090580002,0.01730356675780335,0.020459654,0.07880881,0.00028152746,0.005569005,0.038868852,0.1590862,0.052979186,0.95342356,0.0
660000,0.728091,-1.000242192004072,0.009687680740312319,-0.9817891,0.029086562,0.12919803,-1.000242121821368,0.0001071340581967221,0.0002404027322605865,0.0027896184,0.085865624,0.00028067236,0.0039369934,0.04814696,0.09464852,0.025028704,0.9663649,0.0
690000,0.7393748,-0.9644601050706646,1.0861452957522826,-0.9472567,0.06772083,0.12865469,-0.9644530484523474,0.0003156798804609561,0.00033531916494839467,0.010752042,0.075001135,0.0002797689,0.00403035,0.036695536,0.07208569,0.01801862,0.9729261,0.0
720000,0.7465928,-1.0074015243364713,0.2960609911054638,-0.91937995,0.07747518,0.1202671,-1.0073921285607488,0.00042287226717909214,0.0004568368421718942,0.003310839,0.090428025,0.00027884683,0.0063728658,0.021258159,0.067104615,0.018304192,0.97602826,0.0
