Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.3536468,-1.1645552554546095,11.741634900465904,-0.64874,0.3364479,0.1958201,-1.1661080961257724,0.17621808716340653,0.037683393849233575,0.044151947,0.086455144,0.0002995224,0.8926852,0.09546121,1.4272093,0.2479701,0.71980286,0.08493861
60000,1.1551147,-2.6118101900507664,103.01379310344828,-2.2682004,0.31711537,0.26807314,-2.595226127628444,0.1604060801877899,0.27931475694963914,0.0012207229,0.09951274,0.00029864072,0.050092615,0.023351587,0.60183495,0.1903447,0.7890716,0.049410306
90000,1.0003107,-2.5985033644697775,103.8943661971831,-2.4228628,0.13899468,0.216945,-2.5978151226377153,0.08188474858244815,0.23694879041945602,0.0024859295,0.07578127,0.00029775582,0.02583755,0.034388695,0.55005205,0.1736652,0.8127152,0.038731344
120000,0.86227375,-2.6236711718643515,104.07692307692308,-2.4582243,0.07290468,0.21959741,-2.623671768845378,0.0480338094684367,0.23481173132109892,0.0015193352,0.07944788,0.00029683937,0.015559723,0.026260452,0.52671975,0.16494118,0.822251,0.03247045
150000,0.7318347,-2.6073331778934388,104.6140350877193,-2.4795094,0.0363136,0.20011064,-2.607711718116008,0.032697612419724464,0.22689409410371117,0.0007466496,0.086397976,0.00029592682,0.0100870235,0.019340612,0.48619685,0.15155944,0.836736,0.027861746
180000,0.59857637,-2.632771773737643,103.76491228070175,-2.4582806,0.020333687,0.2097436,-2.632308134665856,0.02752011384932207,0.22467420609029648,0.00054335734,0.10362569,0.00029505102,0.00815936,0.015198911,0.4676941,0.14164568,0.8414029,0.02576029
210000,0.464912,-2.602933873810495,103.03819444444444,-2.4535463,0.030082848,0.21472895,-2.6029344660540423,0.017607065392844054,0.219568254086577,0.0007926236,0.09354668,0.00029413958,0.0052070436,0.010512217,0.44554242,0.13432686,0.8487584,0.022592397
240000,0.3443525,-2.6177584658730133,103.07586206896552,-2.4569733,0.009630294,0.22105147,-2.6181665333084583,0.014802394301073052,0.22105063482712967,0.00066387316,0.09838669,0.00029322843,0.004579532,0.007670511,0.4446811,0.13549988,0.8493658,0.020959742
270000,0.22689892,-2.5472805506696825,103.59298245614035,-2.4461179,0.011672246,0.22071424,-2.547115821730007,0.01469196815945703,0.22735744534333893,0.0015755538,0.14010121,0.00029234152,0.004757343,0.008117499,0.42891517,0.12863207,0.8549404,0.019957414
300000,0.10821072,-2.6250345667875887,103.45486111111111,-2.4655643,-0.0011324094,0.21102995,-2.6250351613594427,0.010867090798557102,0.1959568266740664,0.000351006,0.09132754,0.00029145952,0.0032949399,0.0038953084,0.3837693,0.111713655,0.86583,0.018223308
330000,-0.0053545367,-2.6164012293695476,102.87543252595155,-2.4517026,-0.01186268,0.1916683,-2.6168059992293515,0.008848096987801708,0.18329816034302995,0.00044221987,0.09478084,0.00029054805,0.0026451054,0.0033010985,0.3538367,0.10212099,0.8762068,0.017393626
360000,-0.1076162,-2.6147210997292443,103.44947735191637,-2.4345102,0.006699509,0.20496556,-2.614323358154959,0.00760970996634569,0.18181215309676999,0.0007272514,0.12450238,0.00028963733,0.0022950673,0.0027883563,0.3364124,0.099003956,0.88189465,0.017073687
390000,-0.20864543,-1.336944826343548,21.336810730253355,-1.5700463,0.006705408,0.08959033,-1.3369449480102245,0.0031317705778328214,0.04227186660625835,0.0032876,0.101369575,0.00028873837,0.00490599,0.011488335,0.32845154,0.10192908,0.88853437,0.016273921
420000,-0.3069379,-1.025923661063327,1.5948358027900529,-1.0593123,-0.0029849084,0.09027229,-1.0260626739466574,0.0006849161406803242,0.006041002011559003,0.0035582576,0.13733575,0.0002878482,0.008799811,0.03346141,0.35719457,0.12694636,0.8885927,0.016067386
450000,-0.39366305,-1.013447201917198,0.7946156147173198,-1.00724,-0.0020578718,0.09070835,-1.0134424930825545,0.00035373102008780585,0.003554515506150107,0.0012784877,0.117151104,0.00028694238,0.0062466976,0.028740859,0.3491682,0.1264406,0.89307785,0.015843011
480000,-0.48551852,-1.0142742422794404,0.8603050595238095,-1.0118073,-0.0033891958,0.10592218,-1.0142793374081103,0.0004621580444601525,0.003579230582094931,0.0012607608,0.13319702,0.00028604228,0.008574284,0.028779833,0.3140969,0.11291085,0.90262717,0.015488273
510000,-0.5616794,-1.0129979747706357,0.7859268960590546,-1.0132277,0.010859725,0.1181528,-1.0129979785914534,0.0003599212355040263,0.003151678675249324,0.00067963375,0.13187845,0.00028514376,0.0064887055,0.030496856,0.29624262,0.10927652,0.9087617,0.015400747
540000,-0.6402092,-1.0131760356889412,0.8430721966205837,-1.008535,0.018361183,0.1179866,-1.013172800941193,0.0007004173973217646,0.003455861735800166,0.0030157287,0.1255722,0.00028424323,0.01282678,0.042940516,0.29067317,0.11257021,0.91424406,0.0151504995
570000,-0.7083393,-1.0169874393533174,0.9783666491320357,-1.011841,0.027416367,0.10077073,-1.0168888094721813,0.0007190564571898484,0.0030175419424836934,0.000689158,0.102501675,0.00028333947,0.014602716,0.033007532,0.24419357,0.09024633,0.9262009,0.0149476575
600000,-0.7671324,-1.0349932040309493,2.1292716062284462,-1.0279872,0.03128703,0.08353282,-1.034993213986339,0.001376621874662144,0.005297422299481042,0.0015399811,0.12991674,0.00028243172,0.014967638,0.031017214,0.24851497,0.08802797,0.9236916,0.014893992
630000,-0.8121821,-1.0341308602522756,2.115815691158157,-1.0266124,0.03274087,0.04700921,-1.0341308713206714,0.0005563060797755417,0.005320716999835584,0.0013433982,0.14178048,0.00028154842,0.0059001497,0.020811545,0.2268864,0.07800972,0.92696434,0.014950036
660000,-0.8510214,-1.0270050489137366,1.6539347749025168,-1.0345312,0.023992904,0.02960878,-1.0271427998980653,0.0004608725960493397,0.0044067481744981644,0.003019439,0.13872579,0.00028066678,0.006235496,0.020902097,0.22923967,0.08149983,0.92846483,0.0148137165
690000,-0.8801367,-1.0130002962629234,0.78459250446163,-1.013239,0.0116305845,0.008935329,-1.0129995268634,0.00037821294581435067,0.003383068468560515,0.0013608489,0.15930267,0.00027976112,0.008103211,0.025247362,0.23881593,0.084921785,0.9256112,0.0151047995
720000,-0.89691335,-1.0095357451403295,0.5667658885581492,-1.0090921,0.015148304,0.023653548,-1.0095367438676008,0.00031873597767786114,0.00263646394780236,0.0008939002,0.11366509,0.00027885727,0.006871417,0.018594448,0.22705625,0.08421165,0.9301391,0.014973601
750000,-0.9055779,-1.0086152953056997,0.5027278642574703,-1.0063198,0.027968524,0.03231146,-1.0085389365449275,0.00017437936487475926,0.0023779407966034575,0.00059584866,0.09867913,0.0002779532,0.0037550372,0.014612305,0.21283908,0.08110334,0.9370062,0.015038516
780000,-0.90581846,-1.0108396284233312,0.6532289196492582,-1.0119668,0.02790584,0.025455268,-1.0109247635398384,0.000349832372496727,0.003088195268682389,0.0007870916,0.14112158,0.0002770523,0.0070910947,0.027545895,0.21381514,0.07986641,0.9375566,0.016867457
810000,-0.8970333,-1.0091699576370836,0.538860103626943,-1.0084103,0.022215053,0.040989414,-1.0091672665670752,0.0003219247909783381,0.0034474609315505323,0.0013051966,0.10433064,0.00027614617,0.007704291,0.026542667,0.24971113,0.087665476,0.9240044,0.012772034605344136
840000,-0.8813256,-1.0067510167473526,0.40343327564432385,-1.0079621,0.023559565,0.033432115,-1.0067534515704328,0.00026744378879671433,0.0024451902608587325,0.00081174367,0.111477375,0.00027524374,0.007272,0.026623273,0.23776852,0.08553209,0.92585653,0.0
870000,-0.86773163,-1.008062826435503,0.5247801555431302,-1.0073918,0.03268389,0.030266793,-1.0080616001640303,0.00036992890006232887,0.001828216781048745,0.0005065047,0.16493826,0.00027434542,0.008584986,0.036259774,0.17924687,0.065293856,0.945283,0.0
900000,-0.85194683,-1.0083014321545885,0.5353633572159673,-1.0101756,0.028427314,0.033877254,-1.0083018601126787,0.0003876687817532201,0.0017381030119638223,0.0013586581,0.12957487,0.00027344513,0.00843067,0.03134092,0.15738642,0.060529355,0.9553701,0.0
930000,-0.83786917,-1.0093485708199963,0.6100541293745646,-1.0097169,0.031601958,0.023730293,-1.009266694282466,0.0004882821094367216,0.0015474093672553598,0.0009766825,0.16621178,0.00027254634,0.01094496,0.035730228,0.14725289,0.05420076,0.9565397,0.0
960000,-0.83047533,-1.00802558694514,0.5937333758910522,-1.009561,0.027276535,0.018837715,-1.0081071110752093,0.0003770638994931786,0.0017168414524348918,0.005706606,0.11039291,0.00027164634,0.008565126,0.027538612,0.14296779,0.053137798,0.95753753,0.0
990000,-0.81450945,-1.007373276880201,0.4921653484554544,-1.0083464,0.026193433,0.022661205,-1.0073721796425377,0.00036763681602280235,0.0018460061322662347,0.0006715624,0.1799954,0.00027074842,0.008187314,0.03103376,0.16530892,0.059421644,0.9498695,0.0
1020000,-0.80985826,-1.003111507430984,0.4932757679519627,-1.0074303,0.03167437,0.019837955,-1.0030369224554019,0.00040659109674586103,0.001823676632090627,0.103304066,0.109747484,0.00026984402,0.008595993,0.027271735,0.17311898,0.06197064,0.94414246,0.0
1050000,-0.807897,-1.0050843222054306,0.4945614210158667,-1.0067124,0.028896982,0.021890884,-1.005084325763806,0.00017510109374354636,0.0017326519768412303,0.052019194,0.09659981,0.0002689438,0.0038977794,0.012846748,0.15716209,0.057557978,0.9516504,0.0
1080000,-0.80399203,-1.0074308891346884,0.48885800784158023,-1.0072172,0.026652379,0.02560587,-1.0074308922086213,0.00018421714448693536,0.0015259796490060163,0.00044404212,0.08165299,0.00026804386,0.0041422243,0.011391514,0.14466879,0.052576285,0.9553224,0.0
