Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.346996,-0.2864351677034138,11.63510101010101,-0.6288211,-0.24014713,0.38840616,-0.28550320243521743,0.1608831559200036,0.04402305366201816,0.041285463,0.08721648,0.00029951805,0.84223807,0.12384338,1.5356613,0.25178564,0.6959891,0.08168637
60000,1.1452339,-2.497508436390215,102.40893470790378,-2.1125674,0.26641005,0.31414506,-2.4975004166621586,0.1782471393251085,0.2822847393309248,0.008118148,0.080812134,0.00029862867,0.055850845,0.028701918,0.6201668,0.19483522,0.7814435,0.047634814
90000,0.99902636,-2.5478221446678093,103.15679442508711,-2.3538017,0.13632354,0.27671885,-2.547656690960543,0.09256364876313859,0.27344569594262996,0.004368491,0.08517148,0.0002977347,0.029094875,0.022669083,0.5796304,0.18374078,0.80058944,0.038540833
120000,0.8460271,-2.552741227196208,102.67241379310344,-2.397892,0.05181963,0.2581968,-2.552741804619416,0.04859358784020076,0.2606625395120475,0.0032044954,0.08125258,0.0002968479,0.01534667,0.015936453,0.5559667,0.17928335,0.8108382,0.031587966
150000,0.71187246,-2.38162776260974,98.53488372093024,-2.3670292,0.013144496,0.2877658,-2.381628304979829,0.032390653428411194,0.2579778663232378,0.013644798,0.09582115,0.00029595752,0.01141783,0.0151886735,0.5312441,0.17404245,0.8243707,0.02722697
180000,0.5802875,-2.1965150201664954,90.36060606060606,-2.0838053,0.0080669075,0.3047882,-2.1889397469179874,0.020784027657866702,0.2270043065080024,0.0063495627,0.082478926,0.00029507102,0.007993945,0.010289766,0.49781007,0.16857187,0.84149677,0.023747573
210000,0.4622825,-1.9912570240667888,84.37142857142857,-1.8730059,0.02512043,0.24011819,-1.9984003420333778,0.016535975318900976,0.20567605157382787,0.006899917,0.13080189,0.00029415175,0.006390569,0.009155888,0.45977098,0.1606364,0.85893035,0.02163219
240000,0.33634922,-2.5807956934690632,102.91349480968859,-2.2946417,0.03213383,0.25200987,-2.5807962817330057,0.021746176556816203,0.2740805177404755,0.0017259873,1.479369,0.0002932531,0.00652654,0.0059936466,0.45568562,0.16732924,0.8664516,0.020559182
270000,0.2061337,-2.457881209399488,100.63050847457627,-2.367975,0.018373434,0.2847115,-2.4578817628860725,0.01269305711789688,0.24431998779586817,0.0040639723,0.07086127,0.00029237807,0.0041546393,0.004046448,0.42076832,0.15463325,0.87901175,0.01828466
300000,0.07515545,-2.553940819990304,103.14236111111111,-2.373422,0.019208288,0.26149282,-2.5539414012390704,0.008595884428763788,0.21891057671099487,0.002229877,0.10266955,0.0002914704,0.002648573,0.0031850573,0.37090525,0.13006015,0.89008844,0.017333841
330000,-0.0495546,-2.520437560248054,99.95622895622895,-2.355478,0.008191542,0.23838866,-2.5204381253883894,0.006522599110883105,0.19327498019142986,0.0026733377,0.07908147,0.00029056674,0.0021239808,0.002601454,0.33291227,0.115118496,0.89812964,0.016609928
360000,-0.16989107,-2.5439553278185785,101.7431506849315,-2.3235137,0.0045341374,0.20150684,-2.543955908922402,0.005402935020966864,0.2006624250350622,0.0014533954,0.094466686,0.00028967691,0.0017128019,0.0022443866,0.31598082,0.1068012,0.9003734,0.016149763
390000,-0.28257895,-2.5846550183595514,102.52413793103449,-2.4346542,0.005081645,0.19760492,-2.5846556072476607,0.004712840160033826,0.17916867365450437,0.001839944,0.090467215,0.00028877126,0.0014928597,0.002184413,0.2858151,0.09702958,0.9091772,0.015764814
