Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.4123155,0.014736922003291656,1.6874720557989806,0.17103572,-0.28854033,0.29898068,0.014554014964854324,0.11980600277569256,0.012062542967512066,0.11692619,0.034403,0.00029953843,1.8667109,0.39669377,3.9580245,0.35877436,0.624869,0.29035002
60000,1.3859277,0.9487597992736116,77.4177545691906,0.20958911,1.2573546,0.41814828,0.9554439009217103,1.175443027435994,0.28654926725208524,0.30564192,0.032866437,0.0002986828,0.29151532,0.06997894,0.9989967,0.27719924,0.72038484,0.07703104
90000,1.373109,0.9910895117496739,91.58024691358025,0.19190183,1.4584429,0.35370082,0.9910895294311491,0.5435077580450861,0.2927420161244816,0.20274954,0.035112217,0.0002977494,0.10657824,0.027375825,0.7285681,0.24317086,0.76730055,0.07047587
120000,1.3586055,1.4331153026803447,85.22190201729107,0.46718493,1.1786691,0.3761616,1.4317233115206514,0.3266358785492285,0.264644407323677,0.53329223,0.03123723,0.00029681614,0.06765485,0.03155624,0.6709164,0.22849172,0.7792955,0.06812171
150000,1.3469148,0.6319877396507668,91.1319018404908,0.42843089,0.9663475,0.33246833,0.63346939854341,0.22887317140935207,0.24675068657622426,0.06827675,0.034227543,0.0002959592,0.04613706,0.025767058,0.64142877,0.21333694,0.78671,0.067252494
180000,1.3383112,0.961271248591586,96.95098039215686,0.2789247,0.75998056,0.25033072,0.9612712690628018,0.1777519247817253,0.23792801872261016,0.37386182,0.03166537,0.00029509817,0.03294948,0.02503811,0.59129804,0.19067006,0.7976157,0.06629751
210000,1.3310786,1.0595065562071255,97.18954248366013,0.09023029,0.5859959,0.24619567,1.0592123922599734,0.15720717057439626,0.2444507468345703,0.3613962,0.03572778,0.00029415777,0.028811948,0.02301885,0.5781141,0.18873699,0.8042588,0.065411605
240000,1.3222754,1.0910627264452626,97.89438943894389,0.15968391,0.46848825,0.22176762,1.0913597768550682,0.12689109274767119,0.23438626882487987,0.30352902,0.03435384,0.00029322028,0.023021802,0.02385729,0.5604071,0.18034197,0.8092424,0.064130016
270000,1.3181014,1.3595082811894443,98.26072607260726,0.09765167,0.37316573,0.2096965,1.3428086067055023,0.10351050002408205,0.22976913097815546,0.3357305,0.03997091,0.00029235857,0.018928241,0.019521782,0.55311286,0.17463534,0.81134045,0.064064346
300000,1.3134083,1.5207767068350222,98.69,0.35212162,0.3081833,0.20727788,1.521176809221506,0.0882562865378956,0.21658769994974136,0.3356909,0.033255536,0.00029150106,0.016080962,0.017506082,0.5359015,0.16735935,0.8164375,0.06425479
330000,1.3114235,2.533380090884554,99.0,0.6490948,0.24092667,0.19962731,2.528180089124168,0.07396287348121405,0.21064777926852304,0.6885536,0.034615085,0.00029056484,0.013591084,0.017361777,0.5263486,0.16524331,0.81979495,0.010920288662115732
