Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/Pretraining Loss
30000,1.4135675,0.1039501989473022,1.8893375636957985,-0.08897205,0.17026001,0.09984480154112904,0.15326923991428115,0.93864,0.034613196,0.00029953732,2.3864741,0.3708852,0.28047115
60000,1.3868641,5.812592042559707,79.96216216216216,0.6721197,1.9721146,5.915024020964582,1.4047045776469482,3.943691,0.034112666,0.00029868286,0.32567364,0.059731383,0.0754054
90000,1.3686805,6.44331557761249,93.73186119873817,0.6737199,2.0681045,6.460349508101409,0.676623260761003,3.6348305,0.034711365,0.00029774738,0.13301365,0.020558968,0.06929683
120000,1.3539406,6.364605284879937,96.26860841423948,1.1360933,1.7846403,6.364604442931928,0.42014879463270643,3.653263,0.035777103,0.00029681303,0.07636607,0.01427542,0.06760066
150000,1.3452103,6.028248503936394,95.71612903225807,0.96764183,1.5083911,6.0282478500157595,0.29420929090570536,3.218572,0.03747212,0.0002959572,0.056018226,0.012628314,0.06601657
180000,1.3355054,5.6106974586536555,97.53618421052632,1.3870143,1.1298794,5.610696714717625,0.2252163326576058,2.9355173,0.03402562,0.00029510257,0.042381156,0.010169115,0.06520685
210000,1.3285481,6.65849023594982,97.77631578947368,1.8672005,0.87164193,6.658489330736063,0.1672112276612193,3.617009,0.03293554,0.0002941666,0.031208696,0.007108018,0.064325936
240000,1.3221498,6.175948830637842,95.26282051282051,1.8026816,0.6700311,6.175948040965849,0.136357420818128,3.1014078,0.034439605,0.00029323582,0.025821762,0.008165274,0.06335731
270000,1.3179253,6.10895436159084,96.90196078431373,1.7726157,0.5023771,6.1089536662238615,0.11863642445540214,2.984703,0.035366993,0.00029230365,0.021885986,0.01013497,0.06284488
300000,1.3169653,7.393228426324488,95.30868167202573,1.8176713,0.36822546,7.393227504813367,0.0940635591278218,3.6796749,0.03405889,0.00029144826,0.017846135,0.0079832105,0.063257724
330000,1.315764,10.983919074563097,96.66233766233766,2.7086177,0.28745013,10.82482663790322,0.08370072370570443,5.427487,0.036148276,0.00029059124,0.015838513,0.007938218,0.01062669480840365
360000,1.3148271,11.486785529558592,94.94551282051282,4.5604124,0.21576148,11.48293776854795,0.07274883427173616,5.745733,0.03237513,0.0002896601,0.013893802,0.0073390543,0.0
390000,1.3099273,10.99175747268433,94.93610223642173,5.3268747,0.18379848,11.152139525161312,0.06767493842568356,4.88241,0.036408033,0.00028872731,0.012444608,0.006640957,0.0
420000,1.3084247,14.519604285759774,98.0,7.76519,0.1663022,14.519602152073245,0.053090236503200564,5.7978826,0.03172548,0.00028779134,0.009697701,0.0036041557,0.0
450000,1.3073881,13.350647770304931,95.17628205128206,9.495715,0.13716117,13.347120284249122,0.052710638348705686,6.1008353,0.03305061,0.00028693478,0.009401827,0.0037274077,0.0
480000,1.3041186,12.720950194365537,93.15047021943573,9.569925,0.12310034,12.613111502594581,0.04224272372148534,5.934147,0.03211473,0.00028608207,0.008382072,0.0031867211,0.0
510000,1.2967459,14.047451047648408,97.42105263157895,11.210123,0.112263076,14.159419490778083,0.03851377364634046,4.688991,0.03318352,0.00028514804,0.007036282,0.0030610932,0.0
540000,1.2926712,14.231207384390142,94.63057324840764,12.749753,0.11165407,14.197323265031669,0.03729518385052349,4.831564,0.034775093,0.00028421485,0.0070801247,0.002473788,0.0
570000,1.2951738,13.075620879724978,97.94719471947195,11.144428,0.10547891,13.115553181031766,0.03069015261686404,3.7700005,0.032414198,0.0002833583,0.0056072017,0.0020828887,0.0
600000,1.2918743,18.63654005424599,97.89144736842105,15.946972,0.07100257,18.636537507171806,0.028411699170981974,5.3768373,0.036068793,0.00028250285,0.0051684654,0.0022101703,0.0
630000,1.2898654,15.386333807891544,99.0,15.763464,0.08453832,15.386331692781921,0.026001720009371638,3.927571,0.03412821,0.00028156873,0.0047267308,0.0021660244,0.0
660000,1.2878491,20.271340587148444,99.0,20.993687,0.065915324,20.11200455206136,0.02481622069918861,4.5565777,0.03377063,0.00028063275,0.0044404007,0.0021451423,0.0
690000,1.2854813,18.855337271249542,99.0,20.930658,0.057886004,19.014667920786888,0.02288123717531562,4.2054114,0.036585107,0.00027969677,0.0040891,0.002039566,0.0
720000,1.2800202,20.09633728996385,99.0,23.698647,0.0148549415,20.096334515254323,0.01887985920533538,3.895288,0.033169363,0.00027883874,0.0034568224,0.0015802473,0.0
750000,1.2778674,19.432343942341394,99.0,24.05963,-0.004613596,19.41700775329955,0.017618200885287174,4.0427403,0.032512076,0.00027798078,0.0031790908,0.0016864184,0.0
780000,1.274238,20.481683970763115,98.86666666666666,25.973207,-0.008563942,20.497014431043837,0.016225891270053885,4.0628433,0.03563771,0.00027704405,0.0028721103,0.0016507491,0.0
