Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.3474896,-1.2456636785100192,12.4543429844098,-0.06565594,-0.26578534,0.44072485,-1.242316100781271,0.18391164662578025,0.04772328163444314,0.06311392,0.38405418,0.00029954364,0.80735946,0.1343078,1.5431854,0.26204413,0.7211113,0.08483945
60000,1.1301694,-4.402163481764626,174.35087719298247,-2.3260682,0.3445266,0.35076582,-4.405639622793641,0.34220005121341973,0.4585714983039124,0.00091857277,0.07196219,0.00029866307,0.05310624,0.037265994,0.5911322,0.1867321,0.7943179,0.047558147
90000,0.95924175,-4.432646796764696,174.95294117647057,-2.4171646,0.15270695,0.29980057,-4.432647151806775,0.17323940783629524,0.41348417456097464,0.00097070495,0.070613705,0.00029775183,0.026336197,0.03114973,0.55184925,0.17211856,0.80895513,0.037093095
120000,0.8069115,-4.452352677198017,176.1764705882353,-2.4120288,0.09246362,0.28652743,-4.449112515477739,0.11654799985947341,0.4101484961499124,0.0005157556,0.076673195,0.00029683756,0.016941544,0.023189617,0.5165426,0.1616975,0.82516557,0.030776171
150000,0.66380507,-4.376444828605032,172.2543352601156,-2.425313,0.061809648,0.30991143,-4.380028822641263,0.07621023374550773,0.3853962602382847,0.0008253791,0.074941024,0.000295953,0.010906077,0.017999863,0.4854398,0.15118515,0.8353984,0.026684668
180000,0.52406454,-4.48757458317601,178.2694610778443,-2.4649403,0.012064157,0.2838585,-4.487574943525349,0.051383967199056094,0.3796807285398245,0.00044494533,0.08839149,0.0002950751,0.007259392,0.013810774,0.44485894,0.13501807,0.85074365,0.02360939
210000,0.38633546,-4.492261637711809,178.22619047619048,-2.467857,0.019289957,0.29410252,-4.489221654252378,0.06493039548530907,0.4265421078690958,0.0005720953,0.13424818,0.0002941692,0.009018726,0.014165958,0.44638044,0.144026,0.8572952,0.021459356
